"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2024","24.903","24.805","25.475","24.555","69.30K","0.52%"
"03/12/2024","24.775","24.900","25.110","24.250","79.80K","-0.62%"
"03/11/2024","24.930","26.150","26.580","24.710","93.70K","-5.54%"
"03/08/2024","26.392","25.850","26.800","25.620","80.47K","1.54%"
"03/07/2024","25.992","26.260","26.970","25.735","83.53K","-2.18%"
"03/06/2024","26.572","27.450","28.610","26.120","108.09K","-3.26%"
"03/05/2024","27.468","26.835","28.725","26.505","115.91K","2.17%"
"03/04/2024","26.885","25.770","27.350","24.800","95.04K","4.17%"
"03/01/2024","25.809","25.480","25.970","24.970","79.23K","3.80%"
"02/29/2024","24.865","26.000","26.110","24.650","80.40K","-2.94%"
"02/28/2024","25.619","24.705","26.165","24.530","45.17K","5.03%"
"02/27/2024","24.392","24.050","24.800","23.170","75.53K","1.60%"
"02/26/2024","24.009","23.035","24.315","22.850","70.32K","4.69%"
"02/23/2024","22.934","22.860","23.505","22.315","73.81K","-1.12%"
"02/22/2024","23.193","23.865","24.150","22.715","64.96K","-3.27%"
"02/21/2024","23.977","23.950","24.325","23.500","53.60K","-0.79%"
"02/20/2024","24.168","23.625","24.580","23.295","76.73K","1.96%"
"02/19/2024","23.704","24.880","24.880","23.550","59.14K","-4.50%"
"02/16/2024","24.822","24.890","25.375","24.375","66.88K","-0.58%"
"02/15/2024","24.966","24.760","25.740","24.500","67.73K","0.44%"
"02/14/2024","24.857","25.185","25.450","24.530","69.52K","-2.28%"
"02/13/2024","25.436","25.745","26.520","25.245","59.50K","-1.14%"
"02/12/2024","25.729","26.450","26.450","25.625","69.38K","-5.12%"
"02/09/2024","27.117","27.240","27.455","26.600","66.55K","-2.50%"
"02/08/2024","27.812","28.000","28.550","27.620","56.74K","-1.33%"
"02/07/2024","28.186","28.000","28.930","27.860","53.05K","-1.47%"
"02/06/2024","28.607","28.550","29.200","27.600","64.06K","0.94%"
"02/05/2024","28.341","30.325","30.710","28.050","73.86K","-3.29%"
"02/02/2024","29.304","28.450","29.555","28.005","65.65K","1.08%"
"02/01/2024","28.991","29.955","30.890","28.770","64.90K","-4.11%"
"01/31/2024","30.235","29.695","31.220","29.100","72.17K","2.87%"
"01/30/2024","29.391","28.000","29.610","27.475","41.46K","4.32%"
"01/29/2024","28.174","28.430","29.150","27.850","54.86K","0.34%"
"01/26/2024","28.079","27.435","28.945","26.495","87.06K","1.06%"
"01/25/2024","27.784","28.695","29.415","27.435","74.75K","-3.96%"
"01/24/2024","28.929","27.250","29.170","27.000","80.06K","6.25%"
"01/23/2024","27.227","27.200","27.980","26.630","71.81K","-0.14%"
"01/22/2024","27.264","27.620","27.870","26.600","83.96K","-4.10%"
"01/19/2024","28.429","28.485","29.305","28.100","68.16K","1.92%"
"01/18/2024","27.893","27.800","28.730","27.490","61.50K","0.67%"
"01/17/2024","27.708","29.320","29.635","27.340","75.87K","-6.57%"
"01/16/2024","29.656","29.905","30.720","29.210","67.13K","-0.89%"
"01/15/2024","29.923","31.000","31.650","29.285","73.08K","-6.46%"
"01/12/2024","31.991","31.000","32.225","30.915","72.61K","3.81%"
"01/11/2024","30.817","30.600","31.190","30.100","53.30K","-0.40%"
"01/10/2024","30.942","31.250","31.580","30.185","65.85K","0.98%"
"01/09/2024","30.641","30.950","31.820","30.195","70.18K","-2.97%"
"01/08/2024","31.580","34.000","34.055","31.265","80.48K","-8.60%"
"01/05/2024","34.551","32.825","35.055","32.400","70.15K","3.42%"
"01/04/2024","33.410","33.505","34.500","32.090","74.79K","1.88%"
"01/03/2024","32.795","30.750","33.250","30.500","68.76K","7.27%"
"01/02/2024","30.572","33.000","33.600","30.025","53.30K","-5.50%"
